Frequency of observations in the selected location(s).:
Number of taxa:	103

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Daurian Redstart (Phoenicurus auroreus)	0.03	0	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.075	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0.03	0	0	0	0.03	
Blue Rock-Thrush (Monticola solitarius)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	
Eurasian Tree Sparrow (Passer montanus)	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.5	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.5	0.8	0.8	0.8	0.8	0.8	0.5	
Gray Wagtail (Motacilla cinerea)	0	0.15	0.03	0.0015	0.03	0.075	0.03	0.15	0.075	0.03	0.15	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Japanese Wagtail (Motacilla grandis)	0	0	0	0	0	0	0	0.03	0	0.03	0.0015	0.03	0	0	0	0.0015	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0.075	0	0	0.03	0	0	0	0	
White Wagtail (Motacilla alba)	0.35	0.5	0.5	0.35	0.5	0.35	0.35	0.35	0.5	0.35	0.35	0.15	0.15	0.25	0.075	0.03	0.075	0.075	0.15	0.15	0	0.075	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0.075	0.15	0.15	0.5	0.15	0.5	0.35	0.35	0.35	0.5	0.35	
Olive-backed Pipit (Anthus hodgsoni)	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brambling (Fringilla montifringilla)	0.0015	0.15	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0.075	
Hawfinch (Coccothraustes coccothraustes)	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	
Oriental Greenfinch (Chloris sinica)	0.03	0.075	0.03	0.075	0.03	0.03	0.03	0.03	0.075	0.075	0.15	0.03	0.03	0	0	0	0.075	0	0	0	0	0	0.15	0	0.0015	0	0	0	0.25	0	0	0	0	0	0.25	0	0	0	0	0.075	0.03	0	0.075	0.25	0	0	0	0.03	
Eurasian Siskin (Spinus spinus)	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Meadow Bunting (Emberiza cioides)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	
Reed Bunting (Emberiza schoeniclus)	0	0	0	0	0	0	0.075	0	0	0.075	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Masked Bunting (Emberiza personata)	0.03	0	0	0	0.075	0.03	0	0.03	0	0.03	0.075	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0.03	0	0	0	0.075	
